date,long_return,short_return,portfolio_return,cost,net_return,capital,month
2022-10-11,0.14999999999999997,-0.0006400000000000003,0.07531999999999998,0.0026,0.07271999999999998,513059320.86332864,2022-10
2022-10-19,0.06918,-0.12323999999999999,0.09620999999999999,0.0026,0.09360999999999998,561086803.8893448,2022-10
2022-10-24,0.14999999999999997,-0.13995000000000002,0.144975,0.0026,0.142375,640971537.5930902,2022-10
2022-10-27,0.14514,-0.13365,0.139395,0.0026,0.136795,728653239.0781369,2022-10
2022-11-01,0.12215000000000001,-0.03635,0.07925,0.0026,0.07665,784504509.853476,2022-11
2022-11-09,0.11434,-0.053079999999999995,0.08370999999999999,0.0026,0.08110999999999999,848135670.6476915,2022-11
2022-11-14,0.14999999999999997,-0.08678,0.11838999999999998,0.0026,0.11578999999999998,946341299.9519877,2022-11
2022-11-17,0.11633000000000002,-0.08238,0.099355,0.0026,0.096755,1037904552.4288422,2022-11
2022-11-22,0.14999999999999997,-0.15612,0.15305999999999997,0.0026,0.15045999999999998,1194067671.3872857,2022-11
2022-11-25,0.14999999999999997,-0.040400000000000005,0.09519999999999998,0.0026,0.09259999999999997,1304638337.7577484,2022-11
2022-11-30,0.08415,-0.02383,0.05399,0.0026,0.051390000000000005,1371683701.9351192,2022-11
2022-12-05,0.03765999999999999,-0.05752,0.04758999999999999,0.0026,0.044989999999999995,1433395751.6851802,2022-12
2022-12-08,0.05313000000000001,-0.07410000000000001,0.063615,0.0026,0.06101500000000001,1520854393.4742515,2022-12
2022-12-13,0.07303000000000001,-0.09601,0.08452000000000001,0.0026,0.08192,1645442785.3876622,2022-12
2022-12-16,0.10866,-0.13281,0.12073500000000001,0.0026,0.118135,1839827168.839434,2022-12
2022-12-21,0.09809999999999999,-0.10468999999999999,0.10139499999999999,0.0026,0.09879499999999998,2021592893.9849257,2022-12
2022-12-26,0.05869,-0.1038,0.081245,0.0026,0.07864499999999999,2180581067.1323705,2022-12
2022-12-29,0.11387999999999998,-0.02051,0.06719499999999999,0.0026,0.06459499999999999,2321435701.163786,2022-12
2023-01-04,0.13377,-0.02645,0.08011,0.0026,0.07751,2501370182.360991,2023-01
2023-01-09,0.042210000000000004,-0.10667,0.07444,0.0026,0.07184,2681068616.2618046,2023-01
2023-01-12,0.13355,-0.11105000000000001,0.1223,0.0026,0.1197,3001992529.628342,2023-01
2023-01-17,0.14999999999999997,-0.06632,0.10815999999999998,0.0026,0.10555999999999997,3318882861.0559096,2023-01
2023-01-20,0.06096999999999999,-0.07172,0.066345,0.0026,0.063745,3530445049.0339184,2023-01
2023-02-01,0.02219,-0.07715000000000001,0.049670000000000006,0.0026,0.04707000000000001,3696623097.491945,2023-02
2023-02-06,0.09172000000000001,-0.059789999999999996,0.075755,0.0026,0.073155,3967049560.188968,2023-02
2023-02-09,0.0392,-0.04821,0.043705,0.0026,0.041105,4130115132.3605356,2023-02
2023-02-14,0.05390999999999999,-0.07008,0.061994999999999995,0.0026,0.059394999999999996,4375423320.64709,2023-02
2023-02-17,0.14999999999999997,-0.061399999999999996,0.10569999999999999,0.0026,0.10309999999999998,4826529465.005805,2023-02
2023-02-22,0.05149999999999999,-0.07488999999999998,0.06319499999999999,0.0026,0.06059499999999999,5118993017.937832,2023-02
2023-02-27,0.13376999999999997,-0.049319999999999996,0.09154499999999999,0.0026,0.08894499999999998,5574301851.918313,2023-02
2023-03-02,0.09072,-0.06466999999999999,0.07769499999999999,0.0026,0.07509499999999998,5992904049.488118,2023-03
2023-03-07,0.0631,-0.07056,0.06683,0.0026,0.06423,6377828276.5867405,2023-03
2023-03-10,0.07874,-0.07276,0.07575000000000001,0.0026,0.07315,6844366415.019061,2023-03
2023-03-15,0.08327999999999999,-0.09236,0.08782,0.0026,0.08521999999999999,7427643320.906986,2023-03
2023-03-20,0.09774,-0.07887,0.088305,0.0026,0.08570499999999999,8064229491.725319,2023-03
2023-03-23,0.053720000000000004,-0.06749000000000001,0.060605000000000006,0.0026,0.05800500000000001,8531995123.392847,2023-03
2023-03-28,0.14368,-0.08514999999999999,0.11441499999999999,0.0026,0.11181499999999998,9486000158.115019,2023-03
2023-03-31,0.12227000000000002,-0.06794,0.09510500000000001,0.0026,0.092505,10363502602.74145,2023-03
2023-04-06,0.13415,-0.13144999999999998,0.13279999999999997,0.0026,0.13019999999999998,11712830641.618385,2023-04
2023-04-11,0.11842,-0.11021999999999998,0.11431999999999999,0.0026,0.11171999999999999,13021388080.899992,2023-04
2023-04-14,0.08157,-0.11916,0.10036500000000001,0.0026,0.097765,14294424086.62918,2023-04
2023-04-19,0.0917,-0.20048999999999997,0.14609499999999997,0.0026,0.14349499999999998,16345602470.940035,2023-04
2023-04-24,0.14999999999999997,-0.28183,0.215915,0.0026,0.213315,19832364662.028606,2023-04
2023-04-27,0.12814,-0.27717,0.20265500000000003,0.0026,0.20005500000000004,23799928374.49074,2023-04
2023-05-05,0.07455,-0.15435,0.11445,0.0026,0.11184999999999999,26461950363.177532,2023-05
2023-05-10,0.10833999999999999,-0.08303999999999999,0.09569,0.0026,0.09308999999999999,28925293322.485725,2023-05
2023-05-15,0.08088,-0.12738,0.10413,0.0026,0.10153,31862078353.517696,2023-05
2023-05-18,0.11313999999999999,-0.13328,0.12321,0.0026,0.12061,35704963623.735466,2023-05
2023-05-23,0.14999999999999997,-0.09984000000000001,0.12491999999999999,0.0026,0.12231999999999998,40072394774.19079,2023-05
2023-05-26,0.11952999999999998,-0.18972000000000003,0.154625,0.0026,0.15202500000000002,46164400589.737144,2023-05
2023-05-31,0.14611,-0.22164,0.183875,0.0026,0.18127500000000002,54532852306.64175,2023-05
2023-06-05,0.057440000000000005,-0.18861,0.123025,0.0026,0.12042499999999999,61099971045.66908,2023-06
2023-06-08,0.14999999999999997,-0.19787000000000002,0.173935,0.0026,0.17133500000000002,71568534584.7788,2023-06
2023-06-13,0.13182,-0.10691000000000002,0.119365,0.0026,0.116765,79925234525.5705,2023-06
2023-06-16,0.0694,-0.12839,0.09889500000000001,0.0026,0.096295,87621634984.21031,2023-06
2023-06-21,0.14999999999999997,-0.13263999999999998,0.14131999999999997,0.0026,0.13871999999999998,99776508189.21996,2023-06
2023-06-28,0.14999999999999997,-0.13809,0.14404499999999998,0.0026,0.141445,113889396390.04417,2023-06
2023-07-03,0.06603,-0.07613,0.07108,0.0026,0.06848,121688542254.83441,2023-07
2023-07-06,0.09961,-0.0738,0.086705,0.0026,0.084105,131923157101.17728,2023-07
2023-07-11,0.07105,-0.0675,0.069275,0.0026,0.066675,140719133600.8983,2023-07
2023-07-14,0.10823,-0.13218000000000002,0.120205,0.0026,0.117605,157268407308.03192,2023-07
2023-07-19,0.10861999999999998,-0.10110000000000001,0.10486,0.0026,0.10225999999999999,173350674639.35126,2023-07
2023-07-24,0.12261999999999999,-0.0744,0.09850999999999999,0.0026,0.09590999999999998,189976737844.0114,2023-07
2023-07-27,0.13369999999999999,-0.08491,0.10930499999999999,0.0026,0.10670499999999998,210248205655.65665,2023-07
2023-08-01,0.07085,-0.11495,0.0929,0.0026,0.09029999999999999,229233618626.36246,2023-08
2023-08-04,0.08765,-0.07042999999999999,0.07904,0.0026,0.07644,246756236434.16162,2023-08
2023-08-09,0.10863,-0.14203000000000002,0.12533,0.0026,0.12272999999999999,277040629331.72626,2023-08
2023-08-14,0.08887999999999999,-0.11768,0.10328,0.0026,0.10067999999999999,304933079892.8445,2023-08
2023-08-17,0.07365,-0.11408,0.093865,0.0026,0.091265,332762797429.2649,2023-08
2023-08-22,0.09492999999999999,-0.10954,0.10223499999999999,0.0026,0.09963499999999999,365917618751.1297,2023-08
2023-08-25,0.14999999999999997,-0.034280000000000005,0.09213999999999999,0.0026,0.08953999999999998,398681882334.10583,2023-08
2023-08-30,0.053720000000000004,-0.06291,0.058315,0.0026,0.055715,420894443408.3505,2023-08
2023-09-04,0.06442,-0.08872,0.07657,0.0026,0.07397,452028005387.26624,2023-09
2023-09-07,0.14999999999999997,-0.06837000000000001,0.10918499999999999,0.0026,0.10658499999999999,500207410341.46796,2023-09
2023-09-12,0.08115,-0.08331999999999998,0.08223499999999999,0.0026,0.07963499999999998,540041427464.0107,2023-09
2023-09-15,0.14656999999999998,-0.14807,0.14732,0.0026,0.14472000000000002,618196222846.6023,2023-09
2023-09-20,0.14999999999999997,-0.08307,0.11653499999999999,0.0026,0.11393499999999998,688630409496.6299,2023-09
2023-09-25,0.13728,-0.059629999999999996,0.098455,0.0026,0.095855,754639077398.9293,2023-09
2023-09-28,0.08489,-0.08749,0.08618999999999999,0.0026,0.08358999999999998,817719357878.7058,2023-09
2023-10-11,0.09591000000000001,-0.09942000000000001,0.097665,0.0026,0.095065,895455848635.445,2023-10
2023-10-16,0.13859,-0.1356,0.137095,0.0026,0.134495,1015890182997.6692,2023-10
