year,n_events,n_active,freq_per_stock,a3_div,a3_c1,a3_ex,a5_div,a5_c1,a5_ex,a10_div,a10_c1,a10_ex,a15_div,a15_c1,a15_ex,a20_div,a20_c1,a20_ex,a25_div,a25_c1,a25_ex,a30_div,a30_c1,a30_ex,a45_div,a45_c1,a45_ex,a60_div,a60_c1,a60_ex,b3_div,b3_c1,b3_ex,b5_div,b5_c1,b5_ex,b10_div,b10_c1,b10_ex,b15_div,b15_c1,b15_ex,b20_div,b20_c1,b20_ex,b25_div,b25_c1,b25_ex,b30_div,b30_c1,b30_ex,b45_div,b45_c1,b45_ex,b60_div,b60_c1,b60_ex
2010,21979,2020,10.88069306930693,53.64000364000364,52.70976844551415,0.9302351944894909,57.30730730730731,52.925796812749006,4.381510494558306,53.84265368339628,52.68509296148738,1.1575607219089008,49.43349865768758,50.93791500664011,-1.5044163489525317,53.30633049651845,50.66196306287611,2.644367433642337,56.9744686660902,50.6744697630017,6.2999989030885,59.00878350703136,51.41327356493587,7.5955099420954895,63.52132550411944,53.06520566139543,10.456119842724007,63.384769447858346,52.64621642937196,10.738553018486385,56.73855673855673,53.34080345285525,3.3977532857014836,58.97074213950949,53.917662682602916,5.053079456906573,53.9973608772808,53.06274900398407,0.9346118732967312,50.73485917095145,51.22841965471447,-0.4935604837630194,55.37250261684795,51.168292176800165,4.204210440047788,57.77090065079871,51.28875607022787,6.482144580570839,59.60768250500637,52.09396920267297,7.5137133023334,64.15403523146252,53.46781222761798,10.686223003844532,63.184487232008735,52.833008177327635,10.3514790546811
2011,34655,2302,15.05430060816681,46.02510460251046,45.272548468670976,0.7525561338394837,45.12768720242389,43.29422509484333,1.8334621075805657,42.09280849590211,40.223424436169466,1.8693840597326457,41.93985917118781,39.17442473212717,2.765434439060641,42.237100311670325,38.56666081152292,3.6704395001474026,43.415774436524195,38.09858412676106,5.317190309763134,42.02764710975152,36.82934542004849,5.19830168970303,33.9384144757727,32.75704547051795,1.1813690052547514,26.958152958152958,28.696935619904412,-1.7387826617514541,46.55605251767422,45.14225500526871,1.4137975124055089,47.343817630933486,43.82267186566902,3.521145765264464,43.02781946208011,40.64992095555946,2.3778985065206513,42.17072607641695,39.71192692780608,2.458799148610865,43.55592750779176,39.420340769365886,4.1355867384258715,43.25127701942224,38.811790745880614,4.439486273541625,41.97570055698248,37.020379479971886,4.955321077010595,33.79700441545698,32.97139644388221,0.8256079715747688,27.38239538239538,28.893730671914536,-1.511335289519156
2012,37121,2461,15.083705810646078,50.15489884431993,50.83638583638583,-0.6814869920658992,54.19843215430619,50.76162276015751,3.436809394148682,52.73040760796358,49.67489850117525,3.055509106788328,48.83745992402403,49.18648310387985,-0.3490231798558199,46.75216208206482,48.80185597850972,-2.0496938964449,44.44444444444444,49.073537043255286,-4.629092598810843,46.53518698135575,48.50112949508517,-1.9659425137294235,47.28688436253907,48.008059346093965,-0.7211749835548957,46.75611596077163,47.63402124801563,-0.8779052872439976,53.88594057272164,52.1597118349156,1.7262287378060392,55.56962366315563,51.796452883177146,3.7731707799784857,52.967482960209054,50.95393632284257,2.013546637366481,49.40593259153487,49.60163619158094,-0.19570360004606613,46.3169522577864,49.543636863152116,-3.226684605365719,45.50598124797931,49.45511157239232,-3.9491303244130123,48.00625067356396,48.88271567250748,-0.8764649989435185,47.661385925207455,48.130170650547974,-0.4687847253405195,46.57290656320725,48.049212358041274,-1.4763057948340261
2013,26020,2474,10.517380759902991,58.41884776509474,50.55769679981312,7.861150965281617,59.337407279295896,50.74313078517826,8.594276494117636,56.78542603482071,51.26146119254803,5.523964842272676,57.39708652035208,51.95935291712901,5.437733603223073,58.87598985161836,52.0557145360042,6.820275315614154,59.11816714077035,52.47773397576289,6.640433165007465,58.537710463596525,52.766827274054606,5.7708831895419195,55.70462058891367,52.36704535498379,3.3375752339298828,55.77381410009995,53.922542204568025,1.851271895531923,60.563434413313345,51.87607673664847,8.687357676664874,60.49809754410239,52.170993079685815,8.327104464416578,58.663233146283346,51.84839105296969,6.814842093313658,58.54249144789945,52.40904047187993,6.1334509760195175,60.079188129468754,52.736085966244225,7.343102163224529,59.48335511647574,52.92451452766828,6.558840588807463,58.90289843930191,53.30705212439773,5.595846314904179,56.17744291535327,52.77299144300692,3.404451472346345,56.104405320212194,54.50376774344296,1.6006375767692376
2014,26001,2609,9.9658873131468,57.786238990808044,54.43955851946766,3.3466804713403846,61.424560593823315,55.752933981770006,5.671626612053309,60.61538461538461,57.840938874166405,2.7744457412182086,61.08461538461538,59.670326469988645,1.414288914626738,64.0601561598523,61.20511401694964,2.8550421429026542,65.66406400246163,62.59902143522833,3.0650425672332986,68.733651330974,63.19499053444007,5.538660796533925,71.34282416313967,68.17162331420582,3.17120084893385,77.72048637832846,73.00667113351007,4.713815244818392,60.56305526710511,55.58694196103555,4.976113306069564,62.79758470828045,56.786743935466966,6.010840772813488,61.003846153846155,58.70755431300599,2.296291840840162,61.933151275049035,60.65759967382124,1.2755516012277965,65.10635024424016,61.86912077350962,3.23722947073054,66.31793530520405,63.08140381534877,3.236531489855274,69.24408540103866,63.663899810688804,5.580185590349856,72.7702962677953,68.83283329935044,3.937462968444862,78.32461135908882,73.36130047194547,4.963310887143351
2015,25447,2884,8.823509015256588,56.45459189688372,56.17856501705464,0.27602687982908236,57.256258105081145,56.67993177942012,0.5763263256610216,63.04868943293906,60.82104066305616,2.2276487698828973,58.374597186198216,61.040126873933986,-2.66552968773577,50.17291519295763,59.990424035670465,-9.817508842712833,49.95677120176059,58.632350740685325,-8.675579538924737,52.55442898687417,56.646914466989884,-4.0924854801157124,55.575207326180085,50.36518199233716,5.210025333842921,59.26187949534253,46.10364338532467,13.158236110017853,60.458993201556176,57.08515349171205,3.373839709844127,60.29787401265375,58.2657610484426,2.0321129642111515,65.49948911420262,61.53800119688809,3.9614879173145283,57.82048259058398,61.34833477961639,-3.5278521890324086,51.83525897980036,60.06104859947331,-8.225789619672952,52.334355104928086,58.77599880293282,-6.441643698004732,55.74157038434332,56.41347937990064,-0.6719089955573239,59.15969028809496,50.31728927203065,8.842401016064308,60.92834964430295,46.25333053917313,14.67501910512982
2016,35199,3157,11.149509027557809,57.82026877290678,50.88147475009737,6.938794022809411,60.667102309855956,51.65134756192553,9.015754747930423,58.48842165080267,50.66469335825934,7.823728292543329,61.33257564995027,51.07753024874072,10.25504540120955,61.87526637306435,50.83605961468557,11.039206758378782,62.11178359332822,51.40475695886996,10.70702663445826,62.28120027278927,51.57613211466556,10.705068158123709,64.80434226604905,54.121007530511555,10.683334735537493,60.80654787279393,54.5211384647346,6.28540940805933,61.411483933289766,52.95079839023757,8.460685543052193,60.45117481603546,52.591265513839126,7.8599093021963355,58.88620542690723,51.51892818195981,7.367277244947424,62.63105554766302,51.661733395648334,10.969322152014684,62.57600727396715,51.45661317962299,11.119394094344159,61.955502514704634,52.03313253012048,9.92236998458415,62.86940213684928,52.107190153462646,10.762211983386635,65.73360993492284,54.518306933264086,11.215303001658754,61.26410321993918,54.90949697457606,6.354606245363122
2017,53410,3617,14.76638097871164,48.8045086034189,47.609817612853504,1.1946909905653982,49.862382744481266,46.79464723604008,3.0677355084411886,50.77795877099365,45.07811952637848,5.69983924461517,48.81852905931696,44.49193115205867,4.326597907258289,48.96728648203285,43.561119155495355,5.406167326537492,48.63766596131159,42.20986991148376,6.427796049827833,44.95926584886225,40.39377802690583,4.565487821956424,39.41266809004757,35.76867379829028,3.643994291757288,37.453877994418534,32.43786208185386,5.016015912564676,50.86970360800615,48.103689864549274,2.766013743456874,51.64859855080605,47.40652514070857,4.242073410097483,50.706809713718656,45.32567318246573,5.381136531252928,49.33810174696201,44.95072165911533,4.3873800878466795,49.83053386513866,43.773646597225465,6.056887267913197,48.78464419475655,42.34766564682253,6.436978547934025,45.27390205075382,40.55960388639761,4.714298164356208,39.78911488182193,35.70644430430009,4.082670577521839,37.49508344102939,32.56167071575406,4.933412725275325
2018,66645,3724,17.89607948442535,43.99393766600141,45.43743350519682,-1.443495839195414,44.13481594861868,45.164194373401536,-1.0293784247828555,38.68203442738583,42.925831202046034,-4.243796774660204,35.74065736154885,40.500061382330074,-4.759404020781226,31.803992195707636,38.063961696642316,-6.25996950093468,31.593798309994447,36.384842036339826,-4.791043726345379,32.46378986866792,35.279312461632905,-2.8155225929649887,30.631117516363414,35.412701336444194,-4.78158382008078,32.86089632910442,36.8113983909599,-3.950502061855481,43.865546218487395,46.69571978066945,-2.830173562182054,45.9730788277135,46.10332480818414,-0.13024598047064018,38.669107936126785,43.185677749360615,-4.516569813233829,36.319975986792734,40.52544349640906,-4.2054675096163265,32.09263233727056,38.307449921224396,-6.214817583953838,32.5828868176565,36.642658372892456,-4.059771555235955,32.55283381364073,35.97708205443012,-3.424248240789389,31.29165916051162,36.0130986492018,-4.72143948869018,33.284787700438415,37.18830610490112,-3.9035184044627087
2019,52836,3924,13.464831804281346,52.303528164748634,51.67083386563978,0.6326942991088558,55.54524976811979,52.727637750725485,2.8176120173943033,53.10074584484913,53.39952908536697,-0.29878324051784233,58.69511710244808,53.53472665875696,5.160390443691121,58.16450183663423,52.68980120844818,5.474700628186049,57.01490276278665,52.460931794946696,4.553970967839952,57.512168330145265,52.45572393646156,5.056444393683705,53.16011901377755,49.30596142606663,3.8541575877109224,50.91681362231451,46.87031826652538,4.046495355789126,52.595116411130036,52.370784056066576,0.22433235506345994,53.612599140623516,52.76875342215733,0.8438457184661843,55.1546586907962,53.67064578541964,1.4840129053765594,58.385716449560746,53.703636098130836,4.68208035142991,57.88347565940204,52.82219788243885,5.061277776963188,56.91940615058324,52.601504308456256,4.317901842126986,56.06272964885034,52.50789709131411,3.55483255753623,53.22479768019256,49.238383985973115,3.9864136942194435,50.85427135678392,46.9744582891804,3.8798130676035214
