segment,config,pool,selection,exit_rule,n_slots,horizon,seed,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
train_late,backup_S2_E3_N10,backup,S2,E3,10,20,42,0.64,-0.19466895383907568,-0.7727582401645878,-0.38893844434409497,-0.2519144328989797,15.42801719625997,,0.7678005475863695,0.08448720957521709,422626.9531581165,714,720,8522,0.008467571772118543,0.067464915555151,-0.32209285412031163,-0.4208761758547258,,,,,,,,
train_late,backup_S2_E4_N10,backup,S2,E4,10,20,42,0.69,-0.20224892826851415,-0.6804087648301365,-0.6253477871589062,-0.2972462124573093,23.559269292355882,,0.6124762547993748,0.11957287021825863,407023.01283777016,1012,1019,8522,-0.19729732334100047,0.19156563899426882,-0.2758695459969668,-0.41233548165243805,,,,,,,,
train_late,backup_S3_E1_N10,backup,S3,E1,10,20,42,0.53,-0.1380209738244832,-0.7228125457924977,-0.1670354345868566,-0.19094988683844144,8.516202433951566,,0.8420749171227802,0.04400375498709223,553859.4853625041,365,375,8522,0.44594630824525083,0.29589802090506234,-0.29746833347876744,-0.5792630061128535,,,,,,,,
train_late,backup_S3_E2_N10,backup,S3,E2,10,20,42,0.6,-0.12107710302242025,-0.5960372789594988,-0.21764605115354688,-0.20313679579536423,11.964265840427892,,0.7324210880554464,0.05820229992959399,598453.9657594649,486,496,8522,0.1539869662655815,0.049291043984093896,-0.10747583602208777,-0.44624979936253517,,,,,,,,
train_late,backup_S3_E3_N10,backup,S3,E3,10,20,42,0.64,-0.23937948192046388,-0.8173930376339016,-0.4281125953093123,-0.292857255810978,15.000387161672533,,0.767460959963203,0.08284440272236564,336724.64177644474,700,706,8522,-0.003646523878748864,-0.04622870211227981,-0.3445531408161886,-0.4593954164505203,,,,,,,,
train_late,backup_S3_E4_N10,backup,S3,E4,10,20,42,0.68,-0.1891661509127357,-0.6565177461182798,-0.528484882822331,-0.28813562471265636,22.60990509891709,,0.612374063599806,0.1144097629664398,434232.30451977113,967,975,8522,-0.10399659727145871,0.047765357627692406,-0.23625276967132147,-0.39438198286068105,,,,,,,,
test,backup_S3_E1_N10,backup,S3,E1,10,20,42,0.7,0.1025784994421659,-0.3099489037068034,0.49039045781260976,0.33095293519476415,9.051541494080203,0.0800315807567474,0.7963062138572907,0.05010924981791697,1417505.5614470043,335,344,6865,,,,,,,,-0.004129765172999678,0.2539234408737301,0.01111741584198711,0.18657092708095946,-0.053859345242944445
test,backup_S1_E1_N10,backup,S1,E1,10,20,42,1.22,0.2491198732996842,-0.3331937799579324,0.8516904388591456,0.7476726406211334,9.735802409690098,0.043178679533472375,0.7892733922055235,0.054187909686817186,2213891.8262832565,363,372,6865,,,,,,,,-0.02331533974574973,0.5406392917592706,0.14403345683992264,0.2883548576194619,-0.0017786928988348105
test,backup_S2_E3_N10,backup,S2,E3,10,20,42,0.66,-0.11918965610391274,-0.40638875962525123,-0.4694489518571186,-0.29328974603978397,16.183483017105832,,0.7506610491085377,0.08739985433357611,635434.234916595,592,600,6865,,,,,,,,-0.09077402711858396,0.10520268247450071,-0.19821182597781362,-0.07287792698513873,-0.14933164261157061
val,backup_S3_E1_N5,backup,S3,E1,5,20,42,0.27,0.16485973723161762,-0.23617094411872364,0.7281082898379297,0.6980525815603391,7.053216745199089,0.08350247651710378,0.7964417103806637,0.0204686617730096,1793342.9761877558,140,145,7084,,,,,0.531582358192001,0.06464966343722334,0.16528935965147373,-0.05619451070608805,,,,
val,backup_S3_E1_N20,backup,S3,E1,20,20,42,0.85,0.0953272101953655,-0.36082546112838965,0.5546374204138276,0.26419202762813343,8.519495125810051,0.13878496623046427,0.8108425022189323,0.09754376058723885,1416950.8843395037,671,691,7084,,,,,0.3698241226470005,0.11218831005146757,-0.05739668753149907,-0.01330551880607056,,,,
val,backup_S3_E1_H10_N10,backup,S3,E1,10,10,42,0.56,-0.0013830832093264522,-0.33907859621374736,0.0919841642200016,-0.004078945780625411,15.307039994722034,0.9323243806944872,0.7538084047073903,0.08512140033879165,994716.5701462575,599,603,7084,,,,,0.27236511991400203,-0.1158380266907657,-0.03607863976746872,-0.08269415505731792,,,,
val,backup_S1_E1_N5,backup,S1,E1,5,20,42,0.32,0.061333169166633006,-0.33059530706069684,0.36258182830204244,0.1855234114239024,9.039514932910448,0.23895456653706362,0.8144021347947963,0.025691699604743084,1255879.357529256,177,182,7084,,,,,0.2599722938420008,0.16925794578880216,0.03273307479293153,-0.17455429752474994,,,,
val,backup_S1_E1_N20,backup,S1,E1,20,20,42,0.9,0.05118916631468862,-0.29410794135019047,0.34920736228826804,0.1740489089811361,9.413192316299774,0.23775611853710998,0.8084094942084602,0.10714285714285714,1210553.2224050052,741,759,7084,,,,,0.24402748428175114,0.03612092240324993,0.06400078706952828,-0.1173235898509809,,,,
val,backup_S1_E1_H10_N10,backup,S1,E1,10,10,42,0.57,-0.05133348010795358,-0.42640817975625245,-0.18722076657716724,-0.12038577716144497,16.281461011438985,,0.7450301967347399,0.09133258046301525,817338.3022827574,643,647,7084,,,,,0.16180394501575224,-0.14067871812251587,-0.04931144213659355,-0.1388572095236731,,,,
val,backup_S2_E3_N5,backup,S2,E3,5,20,42,0.36,0.13938797368036937,-0.40542695722417676,0.6728784482178553,0.3438053913205781,14.44341418432697,0.17274745687095058,0.788893463033572,0.040513833992094864,1647826.7205600087,284,287,7084,,,,,0.8890047370617804,-0.27580906325570165,0.20284004888524398,0.0014229244639543115,,,,
val,backup_S2_E3_N20,backup,S2,E3,20,20,42,1.76,0.07446526853976265,-0.22305823363569277,0.4917683064975029,0.333837793503656,16.10283478281185,0.32078991310380506,0.7429287445923418,0.18450028232636928,1316404.388654577,1294,1307,7084,,,,,0.36415097423546605,0.047522734183186754,0.0618782650000087,-0.1324616237199453,,,,
val,backup_S2_E3_H10_N10,backup,S2,E3,10,10,42,0.65,0.011382884308066554,-0.3219451867451877,0.15447392159240078,0.03535659104938211,20.64054902952005,0.7082267990541511,0.7127212734615322,0.12083568605307736,1044274.1649498981,851,856,7084,,,,,0.2731239541501791,-0.0010460792893162152,-0.12809304933375643,-0.05826600347939337,,,,
