feature,cn_name,importance,rank,kept
smart_money_diff_lag_3_rankpct,聪明钱差值｜滞后3日｜当日横截面百分位,0.0,1875,False
smart_money_diff_lag_3_z,聪明钱差值｜滞后3日｜当日横截面稳健标准化,0.0,1876,False
smart_money_diff_lag_5_rankpct,聪明钱差值｜滞后5日｜当日横截面百分位,0.0,1877,False
smart_money_diff_lag_5_z,聪明钱差值｜滞后5日｜当日横截面稳健标准化,0.0,1878,False
smart_money_diff_rankpct,聪明钱差值｜当日横截面百分位,0.0,1879,False
smart_money_diff_z,聪明钱差值｜当日横截面稳健标准化,0.0,1880,False
stoch_overbought,随机指标状态overbought,0.0,1881,False
stoch_overbought_z,随机指标状态overbought｜当日横截面稳健标准化,0.0,1882,False
stoch_oversold,随机指标状态oversold,0.0,1883,False
stoch_oversold_z,随机指标状态oversold｜当日横截面稳健标准化,0.0,1884,False
support_resistance_ratio_lag_1,支撑压力比｜滞后1日,0.0,1885,False
support_resistance_ratio_lag_1_rankpct,支撑压力比｜滞后1日｜当日横截面百分位,0.0,1886,False
support_resistance_ratio_lag_1_z,支撑压力比｜滞后1日｜当日横截面稳健标准化,0.0,1887,False
support_resistance_ratio_lag_3,支撑压力比｜滞后3日,0.0,1888,False
support_resistance_ratio_lag_3_rankpct,支撑压力比｜滞后3日｜当日横截面百分位,0.0,1889,False
support_resistance_ratio_lag_3_z,支撑压力比｜滞后3日｜当日横截面稳健标准化,0.0,1890,False
support_resistance_ratio_lag_5,支撑压力比｜滞后5日,0.0,1891,False
support_resistance_ratio_lag_5_rankpct,支撑压力比｜滞后5日｜当日横截面百分位,0.0,1892,False
support_resistance_ratio_lag_5_z,支撑压力比｜滞后5日｜当日横截面稳健标准化,0.0,1893,False
support_resistance_ratio_rankpct,支撑压力比｜当日横截面百分位,0.0,1894,False
support_resistance_ratio_z,支撑压力比｜当日横截面稳健标准化,0.0,1895,False
sz_amplitude_z,深证成指日特征amplitude｜当日横截面稳健标准化,0.0,1896,False
sz_price_change_abs_z,深证成指日特征price_change_abs｜当日横截面稳健标准化,0.0,1897,False
sz_price_change_z,深证成指日特征price_change｜当日横截面稳健标准化,0.0,1898,False
sz_price_wave_abs_z,深证成指日特征price_wave_abs｜当日横截面稳健标准化,0.0,1899,False
sz_sentiment_z,深证成指日特征sentiment｜当日横截面稳健标准化,0.0,1900,False
sz_volume_ratio_z,深证成指日特征volume_ratio｜当日横截面稳健标准化,0.0,1901,False
sz_volume_signal_z,深证成指日特征volume_signal｜当日横截面稳健标准化,0.0,1902,False
upper_shadow_ratio_rankpct,上影线占比｜当日横截面百分位,0.0,1903,False
upper_shadow_ratio_z,上影线占比｜当日横截面稳健标准化,0.0,1904,False
vol_divergence,波动率背离,0.0,1905,False
vol_divergence_rankpct,波动率背离｜当日横截面百分位,0.0,1906,False
vol_divergence_z,波动率背离｜当日横截面稳健标准化,0.0,1907,False
vol_gk,GK波动率,0.0,1908,False
vol_gk_lag_1,GK波动率｜滞后1日,0.0,1909,False
vol_gk_lag_10,GK波动率｜滞后10日,0.0,1910,False
vol_gk_lag_10_rankpct,GK波动率｜滞后10日｜当日横截面百分位,0.0,1911,False
vol_gk_lag_1_rankpct,GK波动率｜滞后1日｜当日横截面百分位,0.0,1912,False
vol_gk_lag_1_z,GK波动率｜滞后1日｜当日横截面稳健标准化,0.0,1913,False
vol_gk_lag_3,GK波动率｜滞后3日,0.0,1914,False
vol_gk_lag_3_rankpct,GK波动率｜滞后3日｜当日横截面百分位,0.0,1915,False
vol_gk_lag_3_z,GK波动率｜滞后3日｜当日横截面稳健标准化,0.0,1916,False
vol_gk_lag_5,GK波动率｜滞后5日,0.0,1917,False
vol_gk_lag_5_rankpct,GK波动率｜滞后5日｜当日横截面百分位,0.0,1918,False
vol_gk_lag_5_z,GK波动率｜滞后5日｜当日横截面稳健标准化,0.0,1919,False
vol_gk_rankpct,GK波动率｜当日横截面百分位,0.0,1920,False
vol_gk_ratio,GK波动率_ratio,0.0,1921,False
vol_gk_ratio_lag_1,GK波动率_ratio｜滞后1日,0.0,1922,False
vol_gk_ratio_lag_10,GK波动率_ratio｜滞后10日,0.0,1923,False
vol_gk_ratio_lag_10_rankpct,GK波动率_ratio｜滞后10日｜当日横截面百分位,0.0,1924,False
vol_gk_ratio_lag_10_z,GK波动率_ratio｜滞后10日｜当日横截面稳健标准化,0.0,1925,False
vol_gk_ratio_lag_1_rankpct,GK波动率_ratio｜滞后1日｜当日横截面百分位,0.0,1926,False
vol_gk_ratio_lag_1_z,GK波动率_ratio｜滞后1日｜当日横截面稳健标准化,0.0,1927,False
vol_gk_ratio_lag_3,GK波动率_ratio｜滞后3日,0.0,1928,False
vol_gk_ratio_lag_3_rankpct,GK波动率_ratio｜滞后3日｜当日横截面百分位,0.0,1929,False
vol_gk_ratio_lag_3_z,GK波动率_ratio｜滞后3日｜当日横截面稳健标准化,0.0,1930,False
vol_gk_ratio_lag_5,GK波动率_ratio｜滞后5日,0.0,1931,False
vol_gk_ratio_lag_5_rankpct,GK波动率_ratio｜滞后5日｜当日横截面百分位,0.0,1932,False
vol_gk_ratio_lag_5_z,GK波动率_ratio｜滞后5日｜当日横截面稳健标准化,0.0,1933,False
vol_gk_ratio_rankpct,GK波动率_ratio｜当日横截面百分位,0.0,1934,False
vol_gk_ratio_z,GK波动率_ratio｜当日横截面稳健标准化,0.0,1935,False
vol_gk_z,GK波动率｜当日横截面稳健标准化,0.0,1936,False
volatility_10d_rankpct,滚动波动率10d｜当日横截面百分位,0.0,1937,False
volatility_10d_z,滚动波动率10d｜当日横截面稳健标准化,0.0,1938,False
volatility_15d,滚动波动率15d,0.0,1939,False
volatility_15d_rankpct,滚动波动率15d｜当日横截面百分位,0.0,1940,False
volatility_15d_z,滚动波动率15d｜当日横截面稳健标准化,0.0,1941,False
volatility_20d,滚动波动率20d,0.0,1942,False
volatility_20d_rankpct,滚动波动率20d｜当日横截面百分位,0.0,1943,False
volatility_20d_z,滚动波动率20d｜当日横截面稳健标准化,0.0,1944,False
volatility_25d,滚动波动率25d,0.0,1945,False
volatility_25d_rankpct,滚动波动率25d｜当日横截面百分位,0.0,1946,False
volatility_25d_z,滚动波动率25d｜当日横截面稳健标准化,0.0,1947,False
volatility_30d,滚动波动率30d,0.0,1948,False
volatility_30d_rankpct,滚动波动率30d｜当日横截面百分位,0.0,1949,False
volatility_30d_z,滚动波动率30d｜当日横截面稳健标准化,0.0,1950,False
volatility_3d,滚动波动率3d,0.0,1951,False
volatility_3d_rankpct,滚动波动率3d｜当日横截面百分位,0.0,1952,False
volatility_3d_z,滚动波动率3d｜当日横截面稳健标准化,0.0,1953,False
volatility_5d,滚动波动率5d,0.0,1954,False
volatility_5d_rankpct,滚动波动率5d｜当日横截面百分位,0.0,1955,False
volatility_5d_z,滚动波动率5d｜当日横截面稳健标准化,0.0,1956,False
volume,成交量,0.0,1957,False
volume_consistency,成交量一致性,0.0,1958,False
volume_consistency_rankpct,成交量一致性｜当日横截面百分位,0.0,1959,False
volume_consistency_z,成交量一致性｜当日横截面稳健标准化,0.0,1960,False
volume_dryup,缩量标记,0.0,1961,False
volume_dryup_rankpct,缩量标记｜当日横截面百分位,0.0,1962,False
volume_dryup_z,缩量标记｜当日横截面稳健标准化,0.0,1963,False
volume_lag_10,成交量｜滞后10日,0.0,1964,False
volume_lag_10_rankpct,成交量｜滞后10日｜当日横截面百分位,0.0,1965,False
volume_lag_15,成交量｜滞后15日,0.0,1966,False
volume_lag_20,成交量｜滞后20日,0.0,1967,False
volume_lag_25,成交量｜滞后25日,0.0,1968,False
volume_lag_25_rankpct,成交量｜滞后25日｜当日横截面百分位,0.0,1969,False
volume_lag_25_z,成交量｜滞后25日｜当日横截面稳健标准化,0.0,1970,False
volume_lag_3,成交量｜滞后3日,0.0,1971,False
volume_lag_30,成交量｜滞后30日,0.0,1972,False
volume_lag_30_z,成交量｜滞后30日｜当日横截面稳健标准化,0.0,1973,False
volume_lag_5,成交量｜滞后5日,0.0,1974,False
volume_lag_5_rankpct,成交量｜滞后5日｜当日横截面百分位,0.0,1975,False
volume_lag_5_z,成交量｜滞后5日｜当日横截面稳健标准化,0.0,1976,False
volume_ma20,成交量均线20,0.0,1977,False
volume_ma20_rankpct,成交量均线20｜当日横截面百分位,0.0,1978,False
volume_ma20_z,成交量均线20｜当日横截面稳健标准化,0.0,1979,False
volume_ma_ratio,成交量均线比,0.0,1980,False
volume_ma_ratio_rankpct,成交量均线比｜当日横截面百分位,0.0,1981,False
volume_ma_ratio_z,成交量均线比｜当日横截面稳健标准化,0.0,1982,False
volume_momentum_rankpct,成交量动量｜当日横截面百分位,0.0,1983,False
volume_momentum_z,成交量动量｜当日横截面稳健标准化,0.0,1984,False
volume_ratio_rankpct,量比｜当日横截面百分位,0.0,1985,False
volume_ratio_z,量比｜当日横截面稳健标准化,0.0,1986,False
volume_spike,放量标记,0.0,1987,False
volume_spike_rankpct,放量标记｜当日横截面百分位,0.0,1988,False
volume_spike_z,放量标记｜当日横截面稳健标准化,0.0,1989,False
volume_trend_10,成交量趋势_10,0.0,1990,False
volume_trend_10_rankpct,成交量趋势_10｜当日横截面百分位,0.0,1991,False
volume_trend_10_z,成交量趋势_10｜当日横截面稳健标准化,0.0,1992,False
volume_trend_5,成交量趋势_5,0.0,1993,False
volume_trend_5_rankpct,成交量趋势_5｜当日横截面百分位,0.0,1994,False
volume_trend_5_z,成交量趋势_5｜当日横截面稳健标准化,0.0,1995,False
volume_z,成交量｜当日横截面稳健标准化,0.0,1996,False
