feature,importance,rank,kept
COV_CLOSE_LOGV_30,0.001041297263787459,267,True
MIN_R_10,0.0010336479133234314,268,True
CORR_CLOSE_A_20,0.0010309049609456469,269,True
IND_EXCESS_RET20,0.0010302391933422268,270,True
REF_LOGV_30,0.0010231856360807731,271,True
MIN_RETID_3,0.001021038771278987,272,True
rsi_14_z,0.001012598273397642,273,True
RESI_OPEN_3,0.001012551786888683,274,True
Q80_RETID_60,0.00100737126770254,275,True
SKEW_CF_20,0.001006529982829827,276,True
SLOPE_LOGV_5,0.0009989408135118085,277,True
SLOPE_A_10,0.000996007834679518,278,True
distance_to_resistance_z,0.0009878942454834582,279,True
SLOPE_RETON_20,0.0009784285163703043,280,True
efficiency_ratio_lag_3_rankpct,0.000977191536141011,281,True
volume_trend_10,0.0009746646895158711,282,True
KURT_RETON_20,0.0009740830421384037,283,True
illiq_lag_3,0.000961323208125372,284,True
SKEW_V_30,0.0009467996693636034,285,True
close_lag_30,0.0009428663226225201,286,True
DELTA_RETID_20,0.0009420363686839369,287,True
KURT_CF_60,0.0009412583059540858,288,True
COV_R_LOGV_3,0.000929706347223229,289,True
MED_OPEN_60,0.0009275436299104903,290,True
Q80_RETON_10,0.0009218780071467079,291,True
SLOPE_LOGV_10,0.0009189577490949195,292,True
close_vs_high,0.0009156140457049156,293,True
Q80_OPEN_60,0.0009152188728536317,294,True
REF_VWAP_3,0.0009071403451059092,295,True
volatility_25d_rankpct,0.0009039296253953451,296,True
RSQ_A_3,0.0009003666162267163,297,True
macd_robust_z,0.0008840534566386154,298,True
Q20_RETID_10,0.000868785555445953,299,True
REBOUND_FROM_L2,0.0008657209667142724,300,True
RESI_CF_10,0.000855728634327315,301,True
price_vs_ma60_rankpct,0.0008503849728875199,302,True
Q20_LOW_10,0.0008471205272514186,303,True
MKT_SYNC_SCORE,0.0008348668633475871,304,True
efficiency_ratio,0.0008147591423760569,305,True
STD_R_3,0.00081080971194861,306,True
RESI_HIGH_30,0.0008076722587573618,307,True
rsi_momentum,0.0008011774111889667,308,True
CAL_DOW_2,0.0007985204991650543,309,True
KBAR_KUP,0.0007981995141629614,310,True
SKEW_VWAP_60,0.0007882444678551879,311,True
KURT_LOGV_5,0.0007864017049504708,312,True
STD_RETON_10,0.0007842704785115921,313,True
IDXMIN_HIGH_10,0.0007841880604329283,314,True
stoch_oversold_rankpct,0.0007756045494233478,315,True
CORR_R_V_5,0.0007701538161522486,316,True
volatility_25d,0.0007673950749588675,317,True
KURT_LOGV_10,0.0007656944435220991,318,True
support_resistance_ratio_lag_5_z,0.0007480705653637297,319,True
daily_return_z,0.0007469599561297075,320,True
CAL_MONTH_2,0.0007459414690862967,321,True
obv_trend_z,0.0007352515928237905,322,True
EMA_LOW_60,0.0007341937829924734,323,True
RET_ON,0.0007340172634934534,324,True
STD_RETID_20,0.0007334051582867069,325,True
REF_RETID_30,0.0007311804978430153,326,True
RSQ_OPEN_20,0.000714455933156328,327,True
RSQ_OPEN_3,0.0007075117557471643,328,True
MIN_LOW_60,0.0007051990316005055,329,True
SKEW_LOGV_60,0.0006890035160713022,330,True
DELTA_HLR_20,0.000687899463666964,331,True
REF_R_3,0.0006873949714339693,332,True
MIN_OPEN_60,0.0006869273934173184,333,True
volatility_3d,0.0006855488061587185,334,True
effective_spread,0.0006841749403242478,335,True
efficiency_ratio_lag_3_z,0.0006761698493453226,336,True
REF_RETON_3,0.0006720525514540967,337,True
rsi_24,0.0006715077077300849,338,True
volume_lag_15_rankpct,0.0006698739699131966,339,True
MED_LOGV_60,0.000668080311305216,340,True
price_trend_5_rankpct,0.0006653027316144333,341,True
SKEW_LOGV_30,0.0006651649803411867,342,True
RESI_CF_60,0.0006644309576132654,343,True
DELTA_HIGH_5,0.0006593578299373828,344,True
IDXMIN_CF_60,0.0006587980309549455,345,True
SKEW_OPEN_30,0.0006577456673722759,346,True
DELTA_RETID_60,0.0006567323068723439,347,True
price_vs_ma5_rankpct,0.000652839037759274,348,True
EMA_VWAP_60,0.0006508817257646177,349,True
CAL_MONTH_11,0.0006502558313231986,350,True
KURT_LOGV_30,0.0006482768044713748,351,True
KURT_CF_20,0.0006474625303511161,352,True
RESI_VWAP_10,0.0006455199172206614,353,True
ma_60,0.0006449071891716686,354,True
MED_LOW_60,0.0006435554325490315,355,True
SKEW_OPEN_3,0.0006365944509125649,356,True
macd_percentile_rankpct,0.0006170202806196056,357,True
engulfing_pattern_rankpct,0.0006143096307279502,358,True
KURT_RETON_60,0.0006106389049544901,359,True
DELTA_RETON_3,0.0006079671302389916,360,True
KURT60,0.0006014289388910798,361,True
MIN_CF_60,0.0005999524930690279,362,True
EP_TSRANK_500,0.00059889627688925,363,True
DELTA_VWAP_20,0.0005965488326538491,364,True
Q80_HLR_5,0.0005944644790720434,365,True
REF_RETID_3,0.000593669007640029,366,True
KURT_LOW_20,0.0005932934210756346,367,True
