,selection_rate,sign_consistency,mean_abs_coef,std_abs_coef,strength_stability
stoch_oversold_rankpct,0.5,1.0,0.012554027659880685,0.025891292647692854,0.4848745032048202
support_resistance_ratio,0.5,1.0,0.05012570574476479,0.124493803579187,0.40263614978139245
obv_trend,0.4166666666666667,1.0,0.025880581773612025,0.032058935796215465,0.80728137509378
volume_lag_30,0.4166666666666667,1.0,0.01887875637449579,0.023902409127882385,0.7898265096832244
macd,0.4166666666666667,1.0,0.011855021263259291,0.015175789691161,0.7811798597976183
macd_current,0.4166666666666667,1.0,0.011855021263259291,0.015175789691161,0.7811798597976183
rsi_overbought_24,0.4166666666666667,1.0,0.015455605091374917,0.020352965857530988,0.7593785200428687
upper_shadow_ratio_z,0.4166666666666667,1.0,0.005616293568534679,0.007409995760095742,0.7579347884083152
log_volume_z,0.4166666666666667,1.0,0.09009065957139255,0.11980724627433055,0.7519633609231451
volume_lag_10_rankpct,0.4166666666666667,1.0,0.012927706381740971,0.01722030257036475,0.7507246942332411
volume_trend_5_z,0.4166666666666667,1.0,0.006627625227217212,0.008898881755408629,0.7447705688626579
ret_intraday_lag_1_rankpct,0.4166666666666667,1.0,0.006904391360225357,0.00927191828742154,0.7446561915447405
signed_volume_strength,0.4166666666666667,1.0,0.007289790291503534,0.009952792147404233,0.7324367055535033
volatility_10d,0.4166666666666667,1.0,0.023305404485408476,0.03246158609703638,0.7179379472014207
vol_gk_lag_3,0.4166666666666667,1.0,0.01033193363006524,0.014434094537978167,0.7158006068811898
stoch_oversold_z,0.4166666666666667,1.0,0.003615782381077085,0.005057132892915335,0.7149866253549566
volume_trend_10_rankpct,0.4166666666666667,1.0,0.006656190736839279,0.009551409625457393,0.6968804603561887
atr,0.4166666666666667,1.0,0.033213770856737455,0.04813523190055829,0.6900095739717882
macd_signal,0.4166666666666667,1.0,0.005044012963953854,0.0073432967399142575,0.6868867135025718
return_lag_2,0.4166666666666667,1.0,0.01126490956852117,0.016655678317835505,0.6763404860226134
pred_lgb_squared,0.4166666666666667,1.0,0.051770153804917084,0.07803259327061597,0.6634426927909328
engulfing_pattern,0.4166666666666667,1.0,0.0012477992227578978,0.0019111827106592426,0.6528937373692976
pv_corr_10_rankpct,0.4166666666666667,1.0,0.004338093293574169,0.006697996510395071,0.6476702827243326
price_volume_divergence,0.4166666666666667,1.0,0.028211726995694603,0.044393002541457977,0.6354994116324545
efficiency_ratio_z,0.4166666666666667,1.0,0.010744857308271736,0.016940796160361878,0.634259287849327
sh_price_change_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_amplitude_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_volume_ratio_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_price_change_abs_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_price_wave_abs_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_sentiment_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_volume_signal_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_price_change_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_amplitude_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_volume_ratio_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_price_change_abs_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_price_wave_abs_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_sentiment_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sz_volume_signal_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_sz_sync_direction_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
sh_sz_sync_strength_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
market_sentiment_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
market_avg_change_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
market_avg_amplitude_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
market_sync_score_rankpct,0.4166666666666667,1.0,0.0018792128786034512,0.0030042765670065643,0.6255126106701564
ret_intraday_lag_5_z,0.4166666666666667,1.0,0.0026216362504104204,0.004245267207734071,0.6175432834084735
sz_price_change_abs,0.4166666666666667,1.0,0.0034053801411633154,0.0055290960561627306,0.6159017869417693
