,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
support_resistance_ratio_lag_5_z,0,0,0,0,0,0.0,0.0
vol_divergence_z,0,0,0,0,0,0.0,0.0
vol_gk_z,0,0,0,0,0,0.0,0.0
vol_gk_ratio_z,0,0,0,0,0,0.0,0.0
illiq_z,0,0,0,0,0,0.0,0.0
rank_return_z,0,0,0,0,0,0.0,0.0
high_lag_15,0,0,0,0,0,0.0,0.0
open_lag_15,0,0,0,0,0,0.0,0.0
close_lag_15,0,0,0,0,0,0.0,0.0
low_lag_10,0,0,0,0,0,0.0,0.0
high_lag_10,0,0,0,0,0,0.0,0.0
open_lag_10,0,0,0,0,0,0.0,0.0
close_lag_10,0,0,0,0,0,0.0,0.0
low_lag_5,0,0,0,0,0,0.0,0.0
high_lag_5,0,0,0,0,0,0.0,0.0
close_lag_5,0,0,0,0,0,0.0,0.0
low_lag_3,0,0,0,0,0,0.0,0.0
high_lag_3,0,0,0,0,0,0.0,0.0
open_lag_3,0,0,0,0,0,0.0,0.0
close_lag_3,0,0,0,0,0,0.0,0.0
rsi_robust,0,0,0,0,0,0.0,0.0
low_lag_3_rankpct,0,0,0,0,0,0.0,0.0
pct_change,0,0,0,0,0,0.0,0.0
clv,0,0,0,0,0,0.0,0.0
body_strength,0,0,0,0,0,0.0,0.0
rank_return,0,0,0,0,0,0.0,0.0
signed_vol_strength,0,0,0,0,0,0.0,0.0
pv_corr_10,0,0,0,0,0,0.0,0.0
vol_gk,0,0,0,0,0,0.0,0.0
log_volume,0,0,0,0,0,0.0,0.0
efficiency_ratio,0,0,0,0,0,0.0,0.0
intraday_pos,0,0,0,0,0,0.0,0.0
ret_overnight,0,0,0,0,0,0.0,0.0
ret_intraday,0,0,0,0,0,0.0,0.0
smart_money_diff,0,0,0,0,0,0.0,0.0
high_mean_20,0,0,0,0,0,0.0,0.0
low_mean_20,0,0,0,0,0,0.0,0.0
support_resistance_ratio,0,0,0,0,0,0.0,0.0
vol_gk_ratio,0,0,0,0,0,0.0,0.0
vol_gk_lag_10,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_5,0,0,0,0,0,0.0,0.0
vol_gk_lag_5,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_3,0,0,0,0,0,0.0,0.0
vol_gk_lag_3,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_1,0,0,0,0,0,0.0,0.0
vol_gk_lag_1,0,0,0,0,0,0.0,0.0
amplitude_lag_5,0,0,0,0,0,0.0,0.0
amplitude_lag_3,0,0,0,0,0,0.0,0.0
amplitude_lag_1,0,0,0,0,0,0.0,0.0
return_lag_10,0,0,0,0,0,0.0,0.0
return_lag_5,0,0,0,0,0,0.0,0.0
return_lag_3,0,0,0,0,0,0.0,0.0
return_lag_1,0,0,0,0,0,0.0,0.0
daily_return,0,0,0,0,0,0.0,0.0
low_lag_15,0,0,0,0,0,0.0,0.0
close_lag_20,0,0,0,0,0,0.0,0.0
open_lag_20,0,0,0,0,0,0.0,0.0
high_lag_20,0,0,0,0,0,0.0,0.0
low_lag_20,0,0,0,0,0,0.0,0.0
close_lag_25,0,0,0,0,0,0.0,0.0
open_lag_25,0,0,0,0,0,0.0,0.0
high_lag_25,0,0,0,0,0,0.0,0.0
volume_lag_30,0,0,0,0,0,0.0,0.0
close_lag_30,0,0,0,0,0,0.0,0.0
open_lag_30,0,0,0,0,0,0.0,0.0
high_lag_30,0,0,0,0,0,0.0,0.0
low_lag_30,0,0,0,0,0,0.0,0.0
volume_lag_5,0,0,0,0,0,0.0,0.0
volume_lag_10,0,0,0,0,0,0.0,0.0
