column,source,cn_name,status
DELTA_V_60,s2,"Delta(V,60)/(x+1)",kept
DISPOSAL60,s1,"制度｜C/(Sum(A,60)/Sum(V,60)) - 1 (现价对 60 日 VWAP 成本偏离)",kept
DIST_52W_HIGH,s1,"位置｜C~/Max(H~,250)-1",kept
DIST_52W_LOW,s1,"位置｜C~/Min(L~,250)-1",kept
DIST_HIGH60,s1,"位置结构｜C~/Max(H~,60) (取 high 口径, 并入 drawdown_60)",kept
DIST_LIMIT,s1,"制度｜clip(pct_chg/limit_pct, -1, 1), 1=收涨停 (近似口径)",kept
DIST_RESIST20,s1,"位置结构｜(Max(H~,20)-C~)/C~",kept
DIST_SUPPORT20,s1,"位置结构｜(C~-Min(L~,20))/C~",kept
DIV_COUNT_120,s1,"事件结构｜过去 120 交易日内同池同向底背离次数 (含本次), 窗口 (T-120, T]",kept
DIV_DIF_LEVEL_L1,s1,事件结构｜DIF[i1]/(C~[i1]*ATRp[i1]),kept
DIV_DIF_LIFT,s1,事件结构｜(DIF[i2]-DIF[i1])/ATR14[T],kept
DIV_DIF_SLOPE,s1,事件结构｜(DIF[i2]-DIF[i1])/(i2-i1)/ATR14[T],kept
DIV_GOLDEN_CROSS_STATE,s1,事件结构｜三值: 2=T 日金叉; 1=T 前 5 日内已金叉; 0=未金叉,kept
DIV_HIST_AREA_SHRINK,s1,"事件结构｜S2/S1, Sk = 第 k 低点前最近绿柱区间 Sum(HIST|HIST<0)",kept
DIV_HIST_TROUGH_SHRINK,s1,"事件结构｜min(HIST@i2 绿柱区)/min(HIST@i1 绿柱区) (负值之比, <1 为收缩)",kept
DIV_PRICE_NEWLOW_DEPTH,s1,事件结构｜L~[i2]/L~[i1]-1,kept
DIV_SPAN_BARS,s1,事件结构｜i2-i1 (= formation),kept
DIV_SPAN_VS_CYCLE,s1,事件结构｜(i2-i1)/自 T 起最近一次 DIF 完整正负循环时长 (最后两个已完成异号 run 长度和),kept
DIV_ZERO_AXIS_DEPTH,s1,"事件结构｜max(DIF[T],DEA[T])/(C~[T]*ATRp[T])",kept
DOJI,s1,K线形态｜1[abs(C-O) < 0.1*(H-L)],kept
DOWN_DAY_PCT10,s1,K线形态｜10 日阴线 (C<O) 占比,kept
DOWN_STREAK,s1,K线形态｜T 日末连续 C<O 天数,kept
DSR20,s1,"波动结构｜Sum(min(R,0)^2,20)/Sum(R^2,20)",kept
DVOL,s1,"波动率｜Std(R,5)-Std(R,60)",kept
EFF_RATIO10,s1,"位置结构｜abs(C~-shift(C~,10))/Sum(abs(dC~),10) (Kaufman)",kept
EMA_A_10,s2,"EMA(A,10)/(x+1)",kept
EMA_A_20,s2,"EMA(A,20)/(x+1)",kept
EMA_A_3,s2,"EMA(A,3)/(x+1)",kept
EMA_A_30,s2,"EMA(A,30)/(x+1)",kept
EMA_A_5,s2,"EMA(A,5)/(x+1)",kept
EMA_A_60,s2,"EMA(A,60)/(x+1)",kept
EMA_CF_10,s2,"EMA(CF,10)/C̃",kept
EMA_CF_20,s2,"EMA(CF,20)/C̃",kept
EMA_CF_3,s2,"EMA(CF,3)/C̃",kept
EMA_CF_30,s2,"EMA(CF,30)/C̃",kept
EMA_CF_5,s2,"EMA(CF,5)/C̃",kept
EMA_CF_60,s2,"EMA(CF,60)/C̃",kept
EMA_CLOSE_10,s2,"EMA(C̃,10)/C̃","dropped_dedup(anchor=EMA_CF_10, rho=1.000000)"
EMA_CLOSE_20,s2,"EMA(C̃,20)/C̃","dropped_dedup(anchor=EMA_CF_20, rho=1.000000)"
EMA_CLOSE_3,s2,"EMA(C̃,3)/C̃","dropped_dedup(anchor=EMA_CF_3, rho=1.000000)"
EMA_CLOSE_30,s2,"EMA(C̃,30)/C̃","dropped_dedup(anchor=EMA_CF_30, rho=1.000000)"
EMA_CLOSE_5,s2,"EMA(C̃,5)/C̃","dropped_dedup(anchor=EMA_CF_5, rho=1.000000)"
EMA_CLOSE_60,s2,"EMA(C̃,60)/C̃","dropped_dedup(anchor=EMA_CF_60, rho=1.000000)"
EMA_HIGH_10,s2,"EMA(H̃,10)/C̃",kept
EMA_HIGH_20,s2,"EMA(H̃,20)/C̃",kept
