,2022,2023,2024,2025,mean_delta,years_above_null95
illiq,0.0,0.0,0.0,0.0,0.0,0
high_lag_10,0.0,0.0,0.0,0.0,0.0,0
open_lag_10,0.0,0.0,0.0,0.0,0.0,0
high_lag_5,0.0,0.0,0.0,0.0,0.0,0
open_lag_5,0.0,0.0,0.0,0.0,0.0,0
close_lag_5,0.0,0.0,0.0,0.0,0.0,0
open_lag_3,0.0,0.0,0.0,0.0,0.0,0
body_strength,0.0,0.0,0.0,0.0,0.0,0
clv,0.0,0.0,0.0,0.0,0.0,0
illiq_lag_5,0.0,0.0,0.0,0.0,0.0,0
slowd_rankpct,0.0,0.0,0.0,0.0,0.0,0
slowk_rankpct,0.0,0.0,0.0,0.0,0.0,0
atr_rankpct,0.0,0.0,0.0,0.0,0.0,0
volatility_15d_rankpct,0.0,0.0,0.0,0.0,0.0,0
volatility_10d_rankpct,0.0,0.0,0.0,0.0,0.0,0
volatility_5d_rankpct,0.0,0.0,0.0,0.0,0.0,0
volatility_3d_rankpct,0.0,0.0,0.0,0.0,0.0,0
rsi_24_rankpct,0.0,0.0,0.0,0.0,0.0,0
rsi_14_rankpct,0.0,0.0,0.0,0.0,0.0,0
macd_hist_rankpct,0.0,0.0,0.0,0.0,0.0,0
