segment,config,base,timing,gate,pool,selection,exit_rule,n_slots,horizon,seed,source,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,expo_days,expo_full_days,expo_half_days,expo_zero_days,expo_full_frac,expo_half_frac,expo_zero_frac,gate_blocked,forced_exits,forced_deferred,timing_fallback_days,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
train_late,B2_T2_G1,B2,T2,G1,backup,S1,E1,10,20,42,run,9.4,-0.04226604842960291,-0.5883474559435355,0.02880705954200647,-0.0718385845007533,5.222029675002559,,0.5588246942497445,0.024759446139403896,842151.6875277533,210,211,8522,975.0,466.0,0.0,509.0,0.47794871794871796,0.0,0.522051282051282,74.0,0.0,0.0,0.0,0.6055454231170001,0.24521276013242477,-0.34779646351355487,-0.3541360942391958,,,,,,,,
train_late,B2_T2_G2,B2,T2,G2,backup,S1,E1,10,20,42,run,9.43,0.008805957167262513,-0.43124229717610474,0.1458917941323028,0.020419975556494305,6.767501230943589,0.6168216439903653,0.4168217096021892,0.03285613705702887,1035492.969657504,280,280,8522,975.0,466.0,0.0,509.0,0.47794871794871796,0.0,0.522051282051282,123.0,157.0,533.0,0.0,0.6285285936927503,-0.05582955510982668,-0.048336251237726446,-0.29235109600631604,,,,,,,,
train_late,B2_T3_G1,B2,T3,G1,backup,S1,E1,10,20,42,run,9.41,-0.022795866250322594,-0.6014799250970764,0.09185486643826239,-0.03789962939601589,4.443729118398992,,0.439494101557609,0.022060549166862238,912348.0159245027,188,188,8522,975.0,372.0,168.0,435.0,0.38153846153846155,0.1723076923076923,0.4461538461538462,88.0,0.0,0.0,0.0,0.6484466456909996,0.3683095025652161,-0.43621986328583506,-0.28255019292743,,,,,,,,
train_late,B2_T3_G2,B2,T3,G2,backup,S1,E1,10,20,42,run,9.47,0.003709744413616045,-0.518056246711077,0.1102881877219436,0.00716089119119336,5.466725987947602,0.7675390630870276,0.39224086234365907,0.02581553625909411,1014839.444944754,220,220,8522,975.0,372.0,168.0,435.0,0.38153846153846155,0.1723076923076923,0.4461538461538462,107.0,71.0,156.0,0.0,0.6850092402472499,0.19392017137458195,-0.30707712506363205,-0.27199415864672927,,,,,,,,
train_late,B2_T4_G1,B2,T4,G1,backup,S1,E1,10,20,42,run,9.75,-0.11362751849718367,-0.6976456603771495,-0.08884359146452916,-0.16287282348428322,7.991257000058815,,0.7764640436664586,0.0406007979347571,618888.4936972548,336,346,8522,975.0,750.0,225.0,0.0,0.7692307692307693,0.23076923076923078,0.0,175.0,0.0,0.0,0.0,0.5340187526770006,0.2886376071803676,-0.3139675950037951,-0.5436413276907965,,,,,,,,
train_late,B2_T4_G2,B2,T4,G2,backup,S1,E1,10,20,42,run,9.75,-0.14081072266111694,-0.7219316164758149,-0.17923546340602828,-0.19504717544924724,8.23728377518385,,0.7553549972809505,0.042126261440976295,546762.8930607544,350,359,8522,975.0,750.0,225.0,0.0,0.7692307692307693,0.23076923076923078,0.0,189.0,44.0,19.0,0.0,0.47337274509975025,0.28767953059736784,-0.3425184531382681,-0.5616762120011607,,,,,,,,
train_late,B1_no_timing,B1,none,none,backup,S3,E1,10,20,42,issue18_archive,,-0.1380209738244832,-0.7228125457924977,-0.1670354345868566,-0.1909498868384414,8.516202433951566,,0.8420749171227802,0.0440037549870922,553859.4853625041,365,375,8522,,,,,,,,,,,,0.4459463082452508,0.2958980209050623,-0.2974683334787674,-0.5792630061128535,,,,,,,,
val,B1_no_timing,B1,none,none,backup,S3,E1,10,20,42,issue18_archive,,0.1905483698067898,-0.2742010293230644,0.93389118653156,0.6949221535645118,7.718885584934298,0.070301382703909,0.7966375731351691,0.0443252399774138,1949498.8354365053,304,314,7084,,,,,,,,,,,,,,,,0.3464836112622516,0.2420012052998812,0.1104425365648473,0.0497933117258921,,,,
test,B1_no_timing,B1,none,none,backup,S3,E1,10,20,42,issue18_archive,,0.1025784994421659,-0.3099489037068034,0.4903904578126097,0.3309529351947641,9.051541494080205,0.0800315807567474,0.7963062138572907,0.0501092498179169,1417505.5614470043,335,344,6865,,,,,,,,,,,,,,,,,,,-0.0041297651729996,0.2539234408737301,0.0111174158419871,0.1865709270809594,-0.0538593452429444
train_late,B2_no_timing,B2,none,none,backup,S1,E1,10,20,42,issue18_archive,,-0.0997197874602296,-0.6459729466762092,-0.0507037071956946,-0.1543714608689545,8.747358973169742,,0.8400378399852739,0.0449425017601502,658430.7051130042,373,383,8522,,,,,,,,,,,,0.3212907744862505,0.2945414093429372,-0.3163123662411383,-0.4369616184692867,,,,,,,,
val,B2_no_timing,B2,none,none,backup,S1,E1,10,20,42,issue18_archive,,0.1571484660135262,-0.298761187773264,0.7601637554942091,0.5260002719389022,8.939288003730331,0.094753176099172,0.8168935339298138,0.0511010728402032,1748327.1227680072,352,362,7084,,,,,,,,,,,,,,,,0.310430226009752,0.1541708647977246,0.2542189931100154,-0.0783515161014103,,,,
test,B2_no_timing,B2,none,none,backup,S1,E1,10,20,42,issue18_archive,,0.2491198732996842,-0.3331937799579324,0.8516904388591456,0.7476726406211334,9.735802409690098,0.0431786795334723,0.7892733922055235,0.0541879096868171,2213891.8262832565,363,372,6865,,,,,,,,,,,,,,,,,,,-0.0233153397457497,0.5406392917592706,0.1440334568399226,0.2883548576194619,-0.0017786928988348
test,B2_T2_G2,B2,T2,G2,backup,S1,E1,10,20,42,run,8.95,0.07619118508380351,-0.20774453923285774,0.47494318157551685,0.36675421344482106,6.573575463706418,0.07276847285231466,0.37589825339653676,0.035979606700655496,1299982.7681420043,237,247,6865,866.0,457.0,0.0,409.0,0.5277136258660509,0.0,0.4722863741339492,82.0,112.0,0.0,0.0,,,,,,,,-0.0161324875802501,0.14532851616737674,0.13128855792646266,0.08818132027981851,-0.06287776962488789
test,B1_T2_G2,B1,T2,G2,backup,S3,E1,10,20,42,run,9.01,0.07816017331172342,-0.24309120747130508,0.4574539932580365,0.3215261223339375,6.5677986846114,0.07294005210141732,0.3759869358456236,0.035979606700655496,1308500.6877252527,237,247,6865,866.0,457.0,0.0,409.0,0.5277136258660509,0.0,0.4722863741339492,82.0,112.0,0.0,0.0,,,,,,,,-0.009118392508249862,0.13894464964059416,0.13346438287098317,0.06478363091325412,-0.03931651365605593
test,B2_T1_G1,B2,T1,G1,backup,S1,E1,10,20,42,run,9.07,0.015078151778458393,-0.2519946844625536,0.1768769088931963,0.059835197756716994,6.111073055900217,0.16163253912033473,0.4588650329301856,0.03190094683175528,1054925.9176957528,210,219,6865,866.0,481.0,0.0,385.0,0.5554272517321016,0.0,0.4445727482678984,78.0,0.0,0.0,0.0,,,,,,,,-0.05840072158825005,-0.0373989963378033,-0.09779964626025284,0.29112488903974443,-0.0008325236374696621
